Rank,Team,Statistic
1,Chicago,6.8
2,Miami,6.6
3,LA Lakers,5.3
4,Orlando,5.2
5,San Antonio,5.1
6,Boston,5.0
7,Dallas,4.5
8,Denver,4.2
9,Okla City,3.5
10,Houston,2.2
11,Memphis,1.9
12,Portland,1.1
13,Philadelphia,1.0
14,New York,0.3
15,New Orleans,0.3
16,Milwaukee,-0.8
17,Phoenix,-0.9
18,Atlanta,-1.3
19,Indiana,-1.4
20,Utah,-1.8
21,Golden State,-2.3
22,LA Clippers,-3.1
23,Detroit,-3.6
24,Charlotte,-4.0
25,Sacramento,-5.3
26,Brooklyn,-6.2
27,Toronto,-6.3
28,Minnesota,-6.6
29,Washington,-7.4
30,Cleveland,-9.0
