Rank,Team,Statistic
1,LA Lakers,1.042
2,Philadelphia,1.045
3,New York,1.051
4,Utah,1.068
5,Golden State,1.068
6,Milwaukee,1.073
7,Phoenix,1.076
8,Memphis,1.083
9,Miami,1.083
10,LA Clippers,1.087
11,Toronto,1.089
12,Chicago,1.090
13,Indiana,1.091
14,Detroit,1.092
15,Atlanta,1.092
16,San Antonio,1.095
17,Boston,1.097
18,Charlotte,1.098
19,Brooklyn,1.098
20,Washington,1.100
21,Denver,1.100
22,Dallas,1.103
23,New Orleans,1.104
24,Okla City,1.110
25,Cleveland,1.110
26,Orlando,1.113
27,Minnesota,1.113
28,Houston,1.116
29,Portland,1.129
30,Sacramento,1.138
