Rank,Team,Statistic
1,Golden State,0.564
2,Houston,0.544
3,New Orleans,0.54
4,Cleveland,0.54
5,Toronto,0.539
6,Denver,0.536
7,Milwaukee,0.5329999999999999
8,Philadelphia,0.531
9,LA Clippers,0.527
10,Utah,0.526
11,Indiana,0.526
12,Washington,0.524
13,Minnesota,0.523
14,Miami,0.519
15,LA Lakers,0.517
16,Boston,0.514
17,Brooklyn,0.514
18,Dallas,0.513
19,Okla City,0.513
20,Detroit,0.512
21,Orlando,0.512
22,Atlanta,0.512
23,Portland,0.511
24,New York,0.51
25,Charlotte,0.508
26,San Antonio,0.505
27,Sacramento,0.502
28,Memphis,0.5
29,Chicago,0.49700000000000005
30,Phoenix,0.495
