Rank,Team,Statistic
1,Milwaukee,0.525
2,Memphis,0.526
3,Boston,0.528
4,Brooklyn,0.53
5,LA Lakers,0.532
6,Cleveland,0.532
7,New York,0.532
8,Phoenix,0.5329999999999999
9,Golden State,0.536
10,Denver,0.5379999999999999
11,Minnesota,0.539
12,Washington,0.54
13,Philadelphia,0.541
14,Utah,0.541
15,Chicago,0.542
16,New Orleans,0.5429999999999999
17,LA Clippers,0.544
18,Charlotte,0.544
19,Okla City,0.547
20,Dallas,0.5489999999999999
21,Orlando,0.55
22,Miami,0.5539999999999999
23,Indiana,0.5539999999999999
24,Atlanta,0.5539999999999999
25,Detroit,0.557
26,Sacramento,0.56
27,Portland,0.563
28,Houston,0.564
29,Toronto,0.564
30,San Antonio,0.5760000000000001
