Rank,Team,Statistic
1,Phoenix,0.732
2,Miami,0.722
3,San Antonio,0.714
4,Dallas,0.674
5,Detroit,0.645
6,Okla City,0.624
7,Houston,0.607
8,Sacramento,0.586
9,Denver,0.575
10,Chicago,0.557
11,Boston,0.539
12,Minnesota,0.537
13,Washington,0.533
14,Indiana,0.526
15,Memphis,0.523
16,Cleveland,0.512
17,Philadelphia,0.506
18,Brooklyn,0.488
19,LA Clippers,0.451
20,Orlando,0.439
21,Golden State,0.415
21,LA Lakers,0.415
23,New York,0.402
23,Toronto,0.402
25,Milwaukee,0.366
26,Portland,0.329
27,Utah,0.317
28,New Orleans,0.220
28,Charlotte,0.220
30,Atlanta,0.159
